SYMBOL,NSE symbol,Todays Rate,Low,Open,High,Output,Volume,94642035,15268170215,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),362869,INE415G01027
JIOFIN,NSE:JIOFIN,215.5,215.05,221.75,221.75,Avoid,20403368,13572409,1944221685,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),51940,INE584A01023
HCC,NSE:HCC,30.75,30.25,31.7,32.2,Avoid,37009314,13572298,9961924555,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),205346,INE335Y01020
TTML,NSE:TTML,87.9,87.5,89.05,90,Avoid,1835199,13154198,2378049627,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),78143,INE855B01025
ITC,NSE:ITC,436.3,434.5,439.85,440.3,Avoid,4335388,13086915,12673695007,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),219318,INE090A01021
SBIN,NSE:SBIN,563.5,560.6,564,566.8,Avoid,12714585,13045914,144074539.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),641,INE197A01024
BEL,NSE:BEL,144.1,143.15,146.4,146.75,Avoid,7741502,12825265,514956925.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),65341,INE230R01035
IDBI,NSE:IDBI,61.95,60.8,63,63.35,Avoid,7053993,12663533,1118658677,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),34649,INE692A01016
LEMONTREE,NSE:LEMONTREE,116,115.1,117,118.15,Avoid,3856942,12586314,3261311247,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),78420,INE752E01010
GAIL,NSE:GAIL,124.25,124.15,125.65,126.45,Avoid,5930799,12225653,30679680.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),5134,INE512B01022
UJJIVANSFB,NSE:UJJIVANSFB,55.9,55.4,56.25,56.6,Avoid,7454766,12088351,771557819.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),24964,INE002L01015
J&KBANK,NSE:J&KBANK,113,112.5,113.55,115.4,Avoid,3280985,11829645,1738905370,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),56418,INE763I01026
FCSSOFT,NSE:FCSSOFT,2.9,2.85,2.9,2.95,Best for Sell,6840913,11708508,120758284.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),9667,INE550C01020
INDUSTOWER,NSE:INDUSTOWER,192.6,186.65,186.65,192.85,Best for Buy,7496361,11683222,9602926888,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),111359,INE742F01042
NSLNISP,NSE:NSLNISP,42.6,42.5,43.05,43.3,Avoid,2242029,11622736,178994604.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1569,INF769K01IC9
